Title,Author,Translator,ZipRelativePath,TextRelativePath
コウノトリ,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59323_ruby_70676.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59323_ruby_70676_konotori.txt
ブタ飼い,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59324_ruby_70422.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59324_ruby_70422_buta_kai.txt
眠りの精,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59325_ruby_68695.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59325_ruby_68695_nemurino_sei.txt
家じゅうの人たちの言ったこと,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59372_ruby_71246.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59372_ruby_71246_iejuno_hitotachino_itta_koto.txt
お墓の中の坊や,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59373_ruby_70154.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59373_ruby_70154_ohakano_nakano_boya.txt
かけっこ,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59374_ruby_71620.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59374_ruby_71620_kakekko.txt
とびくらべ,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59375_ruby_71881.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59375_ruby_71881_tobi_kurabe.txt
カラー,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59376_ruby_71630.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59376_ruby_71630_collar.txt
旅の仲間,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59411_ruby_72278.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59411_ruby_72278_tabino_nakama.txt
のろまのハンス,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59996_ruby_72627.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59996_ruby_72627_noromano_hansu.txt
雪だるま,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59997_ruby_72455.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59997_ruby_72455_yuki_daruma.txt
イーダちゃんのお花,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/59998_ruby_71391.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59998_ruby_71391_idachanno_ohana.txt
幸福な一家,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60067_ruby_72626.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60067_ruby_72626_kofukuna_ikka.txt
人形つかい,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60068_ruby_71392.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60068_ruby_71392_ningyo_tsukai.txt
アヒルの庭で,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60069_ruby_72781.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60069_ruby_72781_ahiruno_niwade.txt
いいなずけ,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60149_ruby_73157.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60149_ruby_73157_iinazuke.txt
ほんとにそのとおり！,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60150_ruby_73410.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60150_ruby_73410_hontoni_sono_tori.txt
わるい王さま（伝説）,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60151_ruby_73443.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60151_ruby_73443_warui_osama_densetsu.txt
アンネ・リスベット,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60152_ruby_72992.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60152_ruby_72992_anne_risubetto.txt
ペンとインキつぼ,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60153_ruby_73176.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60153_ruby_73176_pento_inki_tsubo.txt
はだかの王さま,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60190_ruby_72962.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60190_ruby_72962_hadakano_osama.txt
マッチ売りの少女,アンデルセン ハンス・クリスチャン,矢崎 源九郎,cards/000019/files/60191_ruby_72963.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/60191_ruby_72963_macchi_urino_shojo.txt
可哀相な姉,渡辺 温,,cards/000020/files/195_ruby_26090.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/195_ruby_26090_kawaisona_ane.txt
或る母の話,渡辺 温,,cards/000020/files/220_ruby_28304.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/220_ruby_28304_aru_hahano_hanashi.txt
